1000
10	10	2982.77	917.086	1361.17	1966.12	2293.62
20	10	3045.91	937.43	1391.18	2010.64	2346.55
30	10	3154.94	971.475	1439.49	2072.67	2432.68
40	10	3237.04	998.15	1477.57	2132.26	2498.87
50	10	3340.91	1031.74	1524.82	2204.45	2581.17
60	10	3487.75	1079.63	1591.18	2307.62	2696.09
70	10	3598.94	1115.97	1641.56	2388.05	2783.3
80	10	3707.65	1151.55	1690.77	2466.89	2868.46
90	10	3803.65	1183.59	1735.13	2542.67	2945.03
100	10	3904.19	1216.22	1780.23	2611.59	3023.67
110	10	3987.12	1242.75	1816.89	2663.94	3088.18
120	10	4081.18	1272.79	1858.78	2722.56	3162.34
130	10	4181.78	1305.65	1903.74	2793.8	3240.84
140	10	4310.37	1348.19	1961.22	2889.84	3339.81
150	10	4425.13	1386.02	2012.37	2973.88	3428.34
160	10	4538.43	1423.22	2062.61	3054.73	3515.64
170	10	4569.32	1431.16	2074.63	3054.13	3541.42
180	10	4591.46	1437.32	2086.87	3048.03	3564.45
190	10	4703.73	1474.07	2136.23	3128.42	3650.56
200	10	4820.6	1512.35	2187.41	3213.68	3739.82
210	10	4945.7	1553.11	2241.55	3305.25	3834.76
220	10	5056.87	1589.19	2289.81	3384.55	3919.68
230	10	5287.48	1660.4	2387.57	3517.99	4099.71
240	10	5414.41	1702.68	2443.75	3619.7	4196.5
250	10	5517.76	1735.49	2487.86	3689.36	4275.89
260	10	5553.22	1746.46	2502.71	3713.42	4303.39
270	10	5529.27	1738.49	2492.01	3696.45	4285.18
280	10	5443.13	1710.53	2454.47	3636.19	4219.24
290	10	5299.92	1664.59	2392.46	3539.17	4109.09
300	10	5099.32	1600.19	2305.49	3402.81	3954.59
310	10	4851.71	1520.19	2196.79	3229.79	3762.13
320	10	4581	1434.75	2079.98	3060.34	3551.39
330	10	4400.76	1375.97	2001.2	2931.18	3413.52
340	10	4220.74	1316.96	1922.25	2798.52	3276.03
350	10	4065.41	1266.03	1853.71	2685.27	3156.72
360	10	3950.85	1229.54	1804.37	2618.06	3069.06
370	10	4088.72	1275.05	1861.45	2725.77	3167.69
380	10	4020.61	1254.86	1832.45	2702.6	3112.38
390	10	3917.91	1221.25	1786.61	2631.56	3032.66
400	10	3807.75	1184.83	1736.77	2548.73	2946.75
410	10	3679.03	1142.15	1678.42	2449.64	2846.82
420	10	3584.55	1111.13	1635.12	2379.67	2771.75
430	10	3519.76	1089.79	1604.05	2328.39	2717.81
440	10	3452.68	1067.79	1572.13	2277.48	2662.3
450	10	3386.68	1046.08	1540.54	2225.62	2607.49
460	10	3321.63	1024.7	1509.43	2174.89	2553.45
470	10	3259.1	1004.24	1479.54	2127.2	2501.35
480	10	3200.54	985.212	1451.57	2084.27	2452.32
490	10	3280.78	1007.24	1485.74	2102.82	2520.12
500	10	3242.88	994.78	1467.57	2075.02	2488.64
10	20	2981.77	916.611	1360.43	1963.99	2292.53
20	20	3049.8	938.525	1392.55	2011.61	2349.1
30	20	3138.2	966.463	1432.87	2066.97	2420.49
40	20	3235.97	997.78	1477.37	2132.1	2498.5
50	20	3341.13	1031.79	1525.14	2205.16	2581.67
60	20	3451.43	1067.71	1575.15	2283.86	2668.36
70	20	3595.38	1114.78	1639.98	2386	2780.44
80	20	3705.5	1151.47	1690.48	2472.97	2866.73
90	20	3812.18	1186.28	1738.53	2548.47	2950.2
100	20	3887.59	1210.58	1772.37	2597.5	3010.04
110	20	3987.45	1242.79	1817.06	2663.2	3088.51
120	20	4080.16	1272.48	1858.48	2722.16	3161.76
130	20	4188.29	1307.87	1906.71	2798.46	3245.71
140	20	4300.13	1344.57	1956.44	2878.05	3332.1
150	20	4431.02	1388.28	2015.16	2980.31	3432.51
160	20	4545.94	1426.1	2066.14	3063.39	3520.87
170	20	4568.91	1431.03	2074.4	3053.92	3540.98
180	20	4584.04	1434.69	2083.56	3040.94	3559.04
190	20	4699.88	1472.67	2134.45	3124.54	3647.64
200	20	4821.24	1512.58	2187.64	3216.21	3740.14
210	20	4940.36	1551.44	2239.46	3301.48	3830.85
220	20	5057.83	1589.59	2290.35	3385.01	3920.35
230	20	5255	1651.76	2374.51	3510.32	4072.37
240	20	5409.71	1700.84	2440.71	3612.8	4191.45
250	20	5522.94	1737.08	2489.96	3693.19	4279.73
260	20	5564.47	1750.12	2507.45	3721.37	4311.62
270	20	5543.01	1742.91	2497.74	3705.68	4295.2
280	20	5458.43	1715.41	2460.78	3645.99	4230.38
290	20	5313.21	1668.49	2397.65	3544.97	4118.89
300	20	5085.94	1595.51	2297.81	3389.96	3940.96
310	20	4843.23	1517.99	2192.98	3228.98	3753.96
320	20	4574.69	1432.91	2077.69	3057.82	3547.07
330	20	4391.79	1373.29	1997.83	2927.11	3407.3
340	20	4221.74	1317.74	1923.36	2805.2	3277.28
350	20	4076.48	1270.6	1860.24	2707.03	3166.61
360	20	3944.41	1227.56	1802.06	2615.58	3064.99
370	20	4075.25	1270.73	1855.74	2717.48	3157.63
380	20	3995	1246.42	1821.36	2685.38	3093.53
390	20	3885.04	1210.31	1772.05	2606.47	3008.05
400	20	3803.17	1182.75	1734.69	2537.69	2944.34
410	20	3686.98	1144.71	1682.21	2454.76	2853.36
420	20	3573.98	1107.86	1630.94	2374.82	2764.3
430	20	3503.67	1084.71	1597.48	2319.71	2706.26
440	20	3434.12	1061.87	1564.31	2265.47	2648.68
450	20	3364.35	1039.12	1531.21	2213.75	2591.02
460	20	3294.51	1016.2	1498.01	2159.9	2533.37
470	20	3227.52	994.313	1466.18	2109.39	2477.89
480	20	3164.94	974.017	1436.45	2064.04	2425.77
490	20	3108.18	955.815	1409.5	2025.38	2378.06
500	20	3196.72	980.602	1447.54	2051.19	2452.44
10	30	2980.78	916.16	1359.71	1962.05	2291.44
20	30	3064.43	942.903	1398.37	2017.66	2359.65
30	30	3137.06	966.075	1432.59	2066.65	2419.98
40	30	3235.73	997.688	1477.47	2132.42	2498.62
50	30	3341.81	1032.01	1525.61	2206.13	2582.42
60	30	3453.01	1068.22	1575.98	2285.47	2669.72
70	30	3574.11	1108.14	1630.86	2375.81	2764.12
80	30	3702.58	1150.4	1689.1	2470.2	2864.42
90	30	3810.32	1185.58	1737.61	2546.56	2948.64
100	30	3886.71	1210.18	1772.03	2596.01	3009.55
110	30	3986.76	1242.49	1816.81	2662.16	3088.13
